gene_id	SRR8176748_ZW	SRR8176749_ZZ	SRR8176750_ZZ	SRR8176751_ZW	SRR8176752_ZZ	SRR8176755_ZW	SRR8176757_ZZ	SRR8176758_ZZ	SRR8176759_ZW	SRR8176760_ZW
LOC141381538	0	5.248	2.505	0	4.816	0	2.058	3.294	0	1
LOC141381790	2.113	38.552	19.699	0	23.207	0	15.809	29.221	0	0
LOC141381802	0	5	2	0	1	0	2.096	2	0	0
LOC141381803	12232.914	3.194	0	5988.423	13.698	5354.445	26.726	28.022	5139.775	7531.68
LOC141381807	0	0	0	0	0	0	1	0	0	0
LOC141381814	0	4.489	1.923	0	2.469	0	1.235	2.418	0	0
LOC141381835	0	6.411	5.802	0	7.779	0	8.798	15.334	0	0
LOC141381850	0	5.27	7.534	0	1.843	0	6.722	5.83	0	0
LOC141381860	0	1.105	1.033	0	2.76	0	0	2.252	0	0
LOC141381869	0	53	93.516	0	30	0	24.196	37	0	1
LOC141381879	0	2	2	0	4	0	0	2	0	0
LOC141381889	0	2	2	0	0	0	1	1	0	0
LOC141381945	0	5	4	0	4	0	6	5	0	0
LOC141381946	1	1	0	0	0	0	0	0	0	0
LOC141381952	0	1	4	0	2	0	1	2	0	0
LOC141381960	1	39	31	0	32	3	22	31	0	0
LOC141381971	20.007	70.443	83.333	5.862	121.865	7.45	76.321	92.621	0	13.482
LOC141381972	0	10	13	0	11	0	7	5	0	0
LOC141381973	0	1	0	0	0	0	0	0	0	0
LOC141381978	0	0	0	0	1	0	1	2	0	0
LOC557537	2	15	33.779	0	23	0	11.019	17	1	1
LOC567883	46.458	1216.177	674.37	17.999	658.366	19.442	591.022	665.309	24.356	28.77
LOC571721	0	5	3	0	5	0	4.011	8	0	1
LOC799502	2	1.03	3.006	0	1.013	0	0	0	1	1
mhc2d4b	14	125	42.999	1	58	0	49	31	1	1
ms4a17a.1	0	3	1	0	2	0	5	5	1	0
ms4a17a.10	9	38	19	1	15	1	18	23	3	3
ms4a17a.11	7	77	41	1	38	2	39	40	2	3
ms4a17a.12	0	1	0	1	1	0	3	6	0	0
ms4a17a.14	1	3	10	0	2	0	9	3	1	0
ms4a17a.16	3	0	3	0	3	2	2	4	1	1
ms4a17a.17	2	15	55	2	18	0	14	13	1	0
ms4a17a.2	2	1	1	2	1	0	5	10	1	1
ms4a17a.3	0	1	1	0	0	0	2	5	0	0
ms4a17a.4	1	5	3	0	0	1	5	9	0	0
ms4a17a.5	1	3	1	0	0	0	10	10	1	1
ms4a17a.6	3	11	15	1	4	1	11	6	0	3
ms4a17a.7	1	2	0	0	0	0	0	3	0	0
ms4a17a.8	2	0	1	4	1	0	3	1	0	5
ms4a17a.9	5	37.001	18	6	21	3	23	21	4	12
nots	8	18	16	122	12	11	20	30	5	6
pacsin2	799	943	1063	380	1025	479	774	637	348	558
parp11	0	145	97.999	0	102	0	66	79	0	0
psmb10	51	172	93	35	76	44	67	86	33	34
ptchd3l	25	2	0	5	0	3	0	0	2	6
pyroxd1	178	100	182	109	140.001	81.999	107	123.001	60	81
redic1	40	1112	1574	7	1527	8	1113	1158	13	11
si:cabz01015814.1	7	68	75	13	101	80	138	57	3	17
si:cabz01015815.1	2.111	35.057	31.11	0	29.467	0	35.546	69.446	2	2.297
si:cabz01063885.1	6	88.915	73	10.161	86.948	13.401	48	74.952	8.65	8.017
si:cabz01066312.1	737.001	305	324	328	289	442	219	296	332	570
si:ch1073-398c20.3	10	49	66	2	63	1	43	89	0	3
si:ch211-232d10.1	2.925	22.923	21.719	2.778	10.269	0	15.377	19.519	0	0
si:ch73-158p21.7	25	30	40	12	39	9	25	30	19	17
si:ch73-389k6.1	812.001	627.999	579	379.001	500.999	408.999	484	632	306	568.001
si:ch73-56d11.5	0	5	1	2	1	0	9	14	1	2
si:dkey-165o8.1	1.087	26.537	15.797	0	12.908	0	9.564	12.134	1	2.679
si:dkey-172k15.13	10	24	36	2	28	4	28	29	2	7
si:dkey-172k15.19	19906.459	3	3	10941.129	17.364	9244.446	45.677	25.396	9449.372	12852.684
si:dkey-172k15.5	8	44	61	6	45	4	32	26	6	11
si:dkey-240n22.1	0	20.456	7.05	0	18.323	0	4.662	13.691	0	0
si:dkey-27n6.1	0	5.561	0	0	0	0	4.637	3.206	0	1.127
si:dkey-61p9.7	38.001	4	6	9	7	16	1	5	19	18
si:dkey-61p9.9	1	24.519	25.823	0	20.678	0	13.324	13.732	1	0
si:dkey-71l4.4	0	40.969	12.525	1.073	18.473	3.509	14.998	13.607	1.01	0
si:zfos-2131b9.2	4	8.495	5.366	0	6.719	1	8.168	8.268	0	2
slc2a13a	9	52	37	3	44	3	28	29	3	10
slco1d1	3	15	20	49	13	0	47	17	2	2
slco1e1	9	0	0	0	3	2	3	3	3	3
slco1f1	1	4	7	0	4.999	0	4	11	0	0
slco1f2	0	6	7	0	3.001	0	6	6	0	0
slco1f3	3	1	1	0	4	0	3	2	0	0
slco1f4	0	0	6	0	2	0	8	5	0	0
terfa	642	295.999	470	270.001	345	355	298	335	292	401
ttll1	67	382	597	23	489	33	377	356	31	53
usp15	372	301	409	191	368	252	304	301	189.999	366.999
zgc:113119	11	68	53	8	56	7	51	57	6	11
zgc:113209	169	226	277	70	247	69.001	195.999	227.001	72	99.001
zgc:123107	24	109	21	20	29	12	14	35	15	23
zgc:153116	43	57	38	33	81	24	48	60	25	37
zgc:162948	413	81.085	80	207.839	63.052	264.599	55	57.048	166.35	282.983
zgc:171673	415	222	250	222	252	199	202	219	223	230.001
zgc:172128	37	61	71	20	75	12.206	38.113	73	11	37
zgc:173770	31071.432	8.299	10.437	15406.804	18.597	13138.088	71.618	28.823	12947.54	19466.131
zgc:174310	114	69	66	42	56	62	56	43	46	73
zgc:194215	32	8	12	23.418	12.197	18.184	10.041	15	18	30
zgc:194336	26	24.527	22	9	17.479	10	14	23.469	2	15
znf971	32	377	373.999	26.582	445.803	14	296.999	329.001	7	25
